incident_id,related_scenario_id,detected_severity,status,confidence_score,ai_analysis,proposed_response,human_action,human_notes
c4dd8976-de4a-4b0e-b966-5a66db4186ea,142c7e31-e779-4f0b-a320-d810fc7ca38a,Critical,Active,0.94,Unusual spike in 'data breach' keywords (velocity +400%). Sentiment -0.8. Cross-referenced with similar 2024 incident. High probability of coordinated FUD (Fear/Uncertainty/Doubt).,1. Activate Crisis Protocol A. 2. Verify internal logs immediately. 3. Prepare 'No Breach' statement if false. 4. Flag accounts for bot behavior.,Pending_Review,
a80f6dbb-a63e-4824-9ec3-4f9f41470ebf,ce2c830f-e651-488b-b5e4-3db8379fd98e,Critical,Active,0.88,Cluster of 50+ claims regarding OTP bypass. Geolocation concentrated in Dubai. Keywords match known phishing scripts. Potential zero-day social engineering campaign.,1. Temporarily restrict high-value transfers. 2. Send push notification warning about OTP sharing. 3. Investigate specific affected UIDs.,Approved,Acting CISO approved temporary limit.
ba5fb954-c272-4322-a36a-5e680d06438f,6ed638d8-2666-485a-a305-17b039fe5e91,High,Mitigated,0.99,"Volume spike (300%) detected for 'login failed'. Correlates with server error rate > 5%. Sentiment -0.6 (frustration, not panic).",1. Acknowledge issue via X/Twitter support account. 2. Update status page. 3. ETA for fix: 30 mins.,Approved,Comms team deployed status update.
41c78807-e4c8-4d87-a477-c8297570a287,fb75aa78-07aa-4dfd-8f38-1f64d0941caf,Medium,Active,0.72,Negative sentiment trend (-0.4) related to 'annual fees'. Velocity is slowly increasing. Influencer account @DubaiFinanceGuy amplified the complaint.,1. Monitor sentiment velocity. 2. Prepare FAQ about fee structure value add. 3. Consider fee waiver for high-value segments if churn risk increases.,Pending_Review,Waiting to see if it trends further.
ff839586-8712-49ba-8f3d-821cfddf7fe9,7c495b12-60a9-45f6-8a2c-96034c717a1c,High,Active,0.84,Detected anomaly matching Phishing Wave profile. Severity level High.,1. Acknowledge. 2. Investigate. 3. Mitigate.,Pending_Review,
7b851211-18a3-450c-a593-7b7582462726,c7d24d10-1cf9-4b51-9ea0-53d434518c10,Medium,Active,0.9,Detected anomaly matching Customer Service Meltdown profile. Severity level Medium.,1. Acknowledge. 2. Investigate. 3. Mitigate.,Pending_Review,
c040591a-e328-4675-89cc-aaf19238ef99,81a3fdcc-2519-40f7-be29-5679800158b7,Low,Active,0.81,Positive sentiment spike for competitor ENBD. Slight negative comparison drift for Mashreq. No operational risk.,1. No action required. 2. Marketing team notified for competitive analysis.,Pending_Review,
61d4b722-a2aa-4ddd-81b8-f82d95a197cd,50fce2c8-b842-4af0-b456-d146d1577ab7,High,Active,0.89,Detected anomaly matching International Transfer Freeze profile. Severity level High.,1. Acknowledge. 2. Investigate. 3. Mitigate.,Pending_Review,
912a39a5-60f8-467c-b938-76a99399cc6e,8c6871ad-017e-4925-99d2-e27a5b2a5382,Medium,Active,0.91,Detected anomaly matching Coordinated Bot Attack profile. Severity level Medium.,1. Acknowledge. 2. Investigate. 3. Mitigate.,Pending_Review,
9f86ead9-06d9-45a6-850c-c41bae4502cb,9ae138a4-a53e-4edd-8699-97f6fd64b126,Positive,Active,0.73,Detected anomaly matching Positive Viral Campaign profile. Severity level Positive.,1. Acknowledge. 2. Investigate. 3. Mitigate.,Pending_Review,
b5631d02-27a1-4798-b302-8096b531d62e,20343cd3-631e-465a-a826-dc4a090fbe18,Critical,False_Positive,0.65,Rumors of internal fraud detected. Source appears to be a single low-credibility account. No corroboration in transaction logs.,1. Monitor for spread. 2. Do not engage publicly (Streisand effect risk). 3. Conduct silent internal audit.,Rejected,Verified as false. Marked as False Positive to silence alerts.
dbfb40f7-c963-4e43-b6d8-5000b1cd58f4,b0d40290-5ab9-4385-9169-fd5309837e11,High,Active,0.81,Detected anomaly matching ATM Network Failure profile. Severity level High.,1. Acknowledge. 2. Investigate. 3. Mitigate.,Pending_Review,
